Ribble	 Reid	WI	R	N00030968
Rice	 Kathleen	NY	D	N00035927
Rice	 Tom	SC	R	N00033832
Richmond	 Cedric	LA	D	N00030184
Rigell	 Scott	VA	R	N00030962
Ritchie	 Jason	WA	D	N00035642
Robertson	 Terry	OH	R	N00036946
Roby	 Martha	AL	R	N00030768
Roche	 Frank	NC	R	N00031007
Roe	 Phil	TN	R	N00028463
Rogers	 David	CA	R	N00036983
Rogers	 Hal	KY	R	N00003473
Rogers	 Mike D	AL	R	N00024759
Rohrabacher	 Dana	CA	R	N00007151
Rokita	 Todd	IN	R	N00031741
Rooney	 Tom	FL	R	N00029018
Ros-Lehtinen	 Ileana	FL	R	N00002858
Roskam	 Peter	IL	R	N00004719
Ross	 Dennis	FL	R	N00030645
Ross	 Henry	MS	R	N00031625
Rotering	 Nancey Rodkin	IL	D	N00036988
Rothfus	 Keith J	PA	R	N00031253
Rouzer	 David	NC	R	N00033527
Roybal-Allard	 Lucille	CA	D	N00006671
Royce	 Ed	CA	R	N00008264
Rubio	 Marco	None	R	N00030612
Rucker	 Austin	MO	R	N00037040
Ruiz	 Raul	CA	D	N00033510
Ruppersberger	 Dutch	MD	D	N00025482
Rush	 Bobby L	IL	D	N00004887
Russell	 Steven	OK	R	N00036175
Ryan	 Paul	WI	R	N00004357
Ryan	 Tim	OH	D	N00025280
Sablan	 Gregorio	MP	I	N00030418
Salmon	 Matt	AZ	R	N00006446
Sanborn	 Alan	MI	R	N00037038
Sanchez	 Linda	CA	D	N00024870
Sanchez	 Loretta	CA	D	N00008274
Sanders	 Bernie	None	D	N00000528
Sanford	 Mark	SC	R	N00002424
Santarsiero	 Steve	PA	D	N00036948
Santorum	 Rick	None	R	N00001380
Sarbanes	 John	MD	D	N00027751
Scalise	 Steve	LA	R	N00009660
Schakowsky	 Jan	IL	D	N00004724
Schatz	 Brian	HI	D	N00028138
Schiff	 Adam	CA	D	N00009585
Schnackenberg	 Matt	FL	L	N00035317
Schneider	 Brad	IL	D	N00033101
Schneider	 Helene	CA	D	N00037016
Schock	 Aaron	IL	R	N00029273
Schrader	 Kurt	OR	D	N00030071
Schroeder	 Daniel Michael	MD	R	N00035367
Schroeder	 Will	IL	D	N00037183
Schultz	 Debbie Wasserman	FL	D	N00026106
